active_energy_burned,unit,date_components
65.669,Cal,10/28/2023
27.212,Cal,10/29/2023
58.186,Cal,10/30/2023
143.115,Cal,10/31/2023
53.993,Cal,11/1/2023
37.94,Cal,11/2/2023
39.98,Cal,11/3/2023
98.806,Cal,11/4/2023
65.274,Cal,11/5/2023
36.498,Cal,11/6/2023
49.965,Cal,11/7/2023
60.327,Cal,11/8/2023
55.492,Cal,11/9/2023
41.853,Cal,11/10/2023
97.325,Cal,11/11/2023
84.407,Cal,11/12/2023
46.2594,Cal,11/13/2023
71.9986,Cal,11/14/2023
45.723,Cal,11/15/2023
57.358,Cal,11/16/2023
59.97,Cal,11/17/2023
99.8807,Cal,11/18/2023
68.0343,Cal,11/19/2023
53.625,Cal,11/20/2023
44.74,Cal,11/21/2023
52.933,Cal,11/22/2023
61.36,Cal,11/23/2023
41.4618,Cal,11/24/2023
65.8442,Cal,11/25/2023
69.904,Cal,11/26/2023
60.509,Cal,11/27/2023
62.452,Cal,11/28/2023
56.797,Cal,11/29/2023
255.764,Cal,11/30/2023
488.582,Cal,12/1/2023
148.87,Cal,12/2/2023
26.897,Cal,12/3/2023
50.9419,Cal,12/4/2023
79.8241,Cal,12/5/2023
57.1457,Cal,12/6/2023
49.9383,Cal,12/7/2023
54.206,Cal,12/8/2023
38.326,Cal,12/9/2023
56.299,Cal,12/10/2023
50.605,Cal,12/11/2023
47.792,Cal,12/12/2023
46.65,Cal,12/13/2023
36.897,Cal,12/14/2023
78.118,Cal,12/15/2023
42.123,Cal,12/16/2023
32.76,Cal,12/17/2023
48.785,Cal,12/18/2023
66.318,Cal,12/19/2023
95.738,Cal,12/20/2023
81.431,Cal,12/21/2023
64.168,Cal,12/22/2023
63.859,Cal,12/23/2023
64.376,Cal,12/24/2023
48.003,Cal,12/25/2023
55.58,Cal,12/26/2023
64.423,Cal,12/27/2023
46.474,Cal,12/28/2023
51.417,Cal,12/29/2023
45.333,Cal,12/30/2023
51.608,Cal,12/31/2023
47.196,Cal,1/1/2024
39.174,Cal,1/2/2024
70.901,Cal,1/3/2024
44.725,Cal,1/4/2024
50.196,Cal,1/5/2024
41.776,Cal,1/6/2024
22.5264,Cal,1/7/2024
51.0526,Cal,1/8/2024
53.849,Cal,1/9/2024
64.49,Cal,1/10/2024
60.763,Cal,1/11/2024
42.01,Cal,1/12/2024
57.132,Cal,1/13/2024
72.787,Cal,1/14/2024
41.0933,Cal,1/15/2024
50.2207,Cal,1/16/2024
49.981,Cal,1/17/2024
50.974,Cal,1/18/2024
61.622,Cal,1/19/2024
48.415,Cal,1/20/2024
102.486,Cal,1/21/2024
60.018,Cal,1/22/2024
60.895,Cal,1/23/2024
55.1657,Cal,1/24/2024
52.9823,Cal,1/25/2024
65.671,Cal,1/26/2024
55.45,Cal,1/27/2024
47.047,Cal,1/28/2024
62.701,Cal,1/29/2024
47.524,Cal,1/30/2024
54.163,Cal,1/31/2024
69.253,Cal,2/1/2024
60.142,Cal,2/2/2024
93.892,Cal,2/3/2024
44.353,Cal,2/4/2024
50.655,Cal,2/5/2024
45.431,Cal,2/6/2024
60.495,Cal,2/7/2024
41.352,Cal,2/8/2024
101.937,Cal,2/9/2024
124.203,Cal,2/10/2024
37.162,Cal,2/11/2024
68.908,Cal,2/12/2024
60.236,Cal,2/13/2024
53.848,Cal,2/14/2024
57.973,Cal,2/15/2024
70.447,Cal,2/16/2024
64.1348,Cal,2/17/2024
39.5462,Cal,2/18/2024
58.453,Cal,2/19/2024
66.746,Cal,2/20/2024
55.962,Cal,2/21/2024
45.525,Cal,2/22/2024
74.551,Cal,2/23/2024
67.017,Cal,2/24/2024
34.874,Cal,2/25/2024
70.946,Cal,2/26/2024
47.518,Cal,2/27/2024
52.277,Cal,2/28/2024
60.048,Cal,2/29/2024
137.105,Cal,3/1/2024
37.857,Cal,3/2/2024
28.4981,Cal,3/3/2024
50.4639,Cal,3/4/2024
49.397,Cal,3/5/2024
62.82,Cal,3/6/2024
53.709,Cal,3/7/2024
56.424,Cal,3/8/2024
192.976,Cal,3/9/2024
30.04,Cal,3/10/2024
97.273,Cal,3/11/2024
52.409,Cal,3/12/2024
176.784,Cal,3/13/2024
67.564,Cal,3/14/2024
65.138,Cal,3/15/2024
71.882,Cal,3/16/2024
68.7029,Cal,3/17/2024
60.4701,Cal,3/18/2024
62.246,Cal,3/19/2024
60.114,Cal,3/20/2024
52.313,Cal,3/21/2024
58.234,Cal,3/22/2024
128.115,Cal,3/23/2024
43.1955,Cal,3/24/2024
57.8035,Cal,3/25/2024
57.467,Cal,3/26/2024
47.313,Cal,3/27/2024
91.246,Cal,3/28/2024
156.86,Cal,3/29/2024
55.836,Cal,3/30/2024
36.423,Cal,3/31/2024
130.479,Cal,4/1/2024
32.704,Cal,4/2/2024
31.94,Cal,4/3/2024
82.918,Cal,4/4/2024
90.5062,Cal,4/5/2024
804.12,Cal,4/6/2024
134.612,Cal,4/7/2024
24.053,Cal,4/8/2024
35.062,Cal,4/9/2024
10.647,Cal,4/10/2024
